,date,power
0,10/1/2022,3825.333333
1,10/2/2022,6149
2,10/3/2022,6200
3,10/4/2022,6560.666667
4,10/5/2022,7090
5,10/6/2022,7204
6,10/7/2022,741
7,10/8/2022,1637.333333
8,10/9/2022,982.6666667
9,10/10/2022,1046
10,10/11/2022,5639
11,10/12/2022,6130
12,10/13/2022,5920
13,10/14/2022,5629.666667
14,10/15/2022,7081
15,10/16/2022,3214.333333
16,10/17/2022,1170
17,10/18/2022,2793.500681
18,10/19/2022,5015.761821
19,10/20/2022,5015.761821
20,10/21/2022,5015.761821
21,10/22/2022,5015.761821
22,10/23/2022,5015.761821
23,10/24/2022,5015.761821
24,10/25/2022,4818.261724
25,10/26/2022,1572.666667
26,10/27/2022,1061
27,10/28/2022,0
28,10/29/2022,6584.666667
29,10/30/2022,6665.333333
