,Time,energy_per_cycle
1804,2022-10-02 06:38:00,
2000,2022-10-02 09:54:00,425.4814814813435
3413,2022-10-03 09:30:00,6796.0
4102,2022-10-03 20:59:00,2757.666666666977
4667,2022-10-04 06:24:00,2552.333333333023
4970,2022-10-04 11:33:00,1254.0
6439,2022-10-05 12:02:00,7028.666666666977
7940,2022-10-06 13:03:00,7552.333333333023
8626,2022-10-07 00:31:00,3076.333333333023
13464,2022-10-10 09:35:00,3318.666666666977
14753,2022-10-11 07:53:00,2696.0
16184,2022-10-12 07:44:00,6132.666666666977
17209,2022-10-13 00:49:00,4135.666666666046
17814,2022-10-13 10:56:00,2190.333333333954
19262,2022-10-14 11:04:00,6710.666666666046
19664,2022-10-14 17:52:00,1314.0
20784,2022-10-15 12:32:00,5163.333333333954
22088,2022-10-16 10:16:00,5915.333333333023
25400,2022-10-18 17:35:00,3027.9641953688115
27693,2022-10-20 07:48:00,7986.904066938907
29120,2022-10-21 07:35:00,4970.4806382562965
29329,2022-10-21 11:04:00,727.9820976844057
30648,2022-10-22 09:03:00,4594.298501654528
31375,2022-10-22 21:10:00,2532.2630862034857
32166,2022-10-23 10:21:00,2755.1858338192105
33046,2022-10-24 01:01:00,3065.1877797236666
33678,2022-10-24 11:33:00,2201.362132711336
34248,2022-10-24 21:03:00,1985.4057209575549
34625,2022-10-25 03:20:00,1313.1543101770803
36051,2022-10-26 03:11:00,4586.478303171694
39638,2022-10-28 15:22:00,2165.333333333023
41781,2022-10-30 03:05:00,7510.0
